,20201,20202,20203,20204,20205,20206,20208,202011,202012,202013,202014,202015,202016,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040
23,3432068.8,3434201.0,3433540.2,3432628.2,3436367.5,3437695.5,3435108.2,3437404.0,3438005.8,3433869.8,3436208.5,3435129.2,3436549.8,3436014.5,3436042.8,3435712.2,3434277.2,3436280.8,3436415.5,3435503.5,3434281.2,3434395.0,3436781.8,3435317.5,3435642.8,3437453.8,3433282.5,3435312.8,3436499.2,3437355.0,3436142.0,3432251.0
24,3430824.0,3433160.8,3432449.5,3431428.2,3435548.8,3437004.0,3434153.8,3436667.0,3437348.5,3432803.8,3435399.0,3434182.8,3435750.8,3435176.2,3435206.8,3434829.2,3433257.5,3435451.2,3435625.8,3434601.5,3433251.5,3433378.8,3436016.5,3434392.5,3434769.8,3436748.2,3432138.0,3434400.8,3435684.5,3436631.2,3435308.2,3431021.0
25,3429687.2,3432224.8,3431465.8,3430319.0,3434802.0,3436385.2,3433279.8,3436010.0,3436751.5,3431828.8,3434653.0,3433321.0,3434996.8,3434407.0,3434434.2,3434010.5,3432332.0,3434699.2,3434902.8,3433772.8,3432310.8,3432447.8,3435334.5,3433556.2,3433957.8,3436117.2,3431099.0,3433566.2,3434944.0,3435975.5,3434554.8,3429893.0
26,3428474.2,3431210.5,3430399.8,3429121.5,3433996.0,3435717.8,3432333.5,3435301.5,3436113.8,3430763.8,3433854.0,3432382.5,3434206.2,3433579.8,3433609.8,3433135.0,3431317.0,3433895.0,3434128.0,3432884.8,3431287.2,3431413.2,3434595.8,3432654.2,3433085.8,3435434.5,3429960.5,3432676.0,3434134.0,3435270.8,3433748.5,3428686.0
27,3427233.0,3430196.2,3429310.0,3427919.2,3433193.2,3435048.5,3431367.0,3434585.2,3435478.5,3429706.0,3433041.2,3431440.5,3433394.0,3432760.5,3432798.5,3432246.0,3430301.0,3433086.8,3433351.2,3431991.8,3430260.5,3430401.8,3433845.2,3431783.0,3432206.8,3434744.8,3428806.8,3431776.5,3433333.0,3434564.2,3432921.2,3427463.5
28,3425707.0,3428959.8,3427969.8,3426420.5,3432203.5,3434240.8,3430193.5,3433713.2,3434689.0,3428410.2,3432050.8,3430287.2,3432409.8,3431736.8,3431792.2,3431169.8,3429047.2,3432088.2,3432393.5,3430900.0,3428981.2,3429131.8,3432956.8,3430687.2,3431126.5,3433915.2,3427384.5,3430654.0,3432344.2,3433710.0,3431931.0,3425959.5
29,3424037.0,3427596.5,3426481.5,3424777.8,3431116.5,3433366.2,3428915.5,3432767.0,3433843.2,3426982.8,3430978.5,3429009.8,3431331.2,3430639.8,3430697.0,3429978.0,3427686.8,3430990.2,3431368.8,3429708.8,3427595.2,3427726.8,3431984.0,3429484.5,3429969.0,3433015.5,3425816.2,3429429.0,3431265.5,3432765.8,3430824.2,3424311.8
30,3422050.8,3425968.8,3424736.0,3422815.8,3429832.2,3432344.8,3427407.5,3431656.0,3432843.2,3425285.2,3429730.8,3427488.2,3430065.0,3429330.0,3429386.2,3428584.5,3426049.0,3429700.5,3430145.2,3428271.0,3425915.8,3426061.2,3430835.5,3428074.8,3428576.0,3431963.5,3423952.5,3427987.0,3429997.8,3431674.2,3429543.8,3422339.0
31,3419821.8,3424166.0,3422753.0,3420617.5,3428399.8,3431199.0,3425737.2,3430418.5,3431739.0,3423380.8,3428340.2,3425808.0,3428649.8,3427885.8,3427914.5,3427024.2,3424230.8,3428279.8,3428806.0,3426699.2,3424049.8,3424220.5,3429577.8,3426490.2,3427018.0,3430806.5,3421850.0,3426374.5,3428594.8,3430460.0,3428090.5,3420127.2
32,3417237.5,3422070.2,3420456.5,3418043.0,3426734.5,3429905.2,3423802.2,3428990.0,3430458.0,3421164.8,3426768.2,3423825.0,3427048.0,3426198.0,3426206.0,3425221.5,3422118.0,3426630.2,3427248.8,3424850.8,3421864.8,3422052.2,3428107.5,3424670.2,3425210.5,3429486.0,3419386.5,3424484.0,3426989.8,3429087.8,3426410.5,3417558.0
33,3414831.8,3420138.8,3418333.2,3415641.5,3425205.2,3428723.8,3422013.8,3427676.8,3429286.0,3419122.0,3425297.8,3421999.2,3425543.8,3424672.0,3424613.8,3423551.5,3420143.5,3425122.2,3425833.0,3423159.0,3419823.8,3420016.2,3426761.8,3422980.8,3423530.2,3428290.2,3417105.0,3422756.2,3425504.5,3427814.2,3424872.8,3415177.5
34,3412146.5,3417982.2,3415933.0,3412987.2,3423525.2,3427430.0,3419989.5,3426226.8,3428001.8,3416829.8,3423676.8,3419984.8,3423865.5,3422948.5,3422850.5,3421702.8,3417965.2,3423435.5,3424256.8,3421262.0,3417544.8,3417752.0,3425287.8,3421115.8,3421659.0,3426956.2,3414537.5,3420812.2,3423840.2,3426415.0,3423151.5,3412533.5
